,scenario,fuse_size,dso_packet,battery,pv_capacity,cost_sum,cost_mean
131,Kaitse:20 + net4 + PV:12 + Aku:Tesla Powerwall 2,20,net4,Tesla Powerwall 2,12,-817.0,-2.24
132,Kaitse:20 + net4 + PV:12 + Aku:LG Chem RESU,20,net4,LG Chem RESU,12,-693.0,-1.9
133,Kaitse:32 + net1 + PV:12 + Aku:Puudub,32,net1,Puudub,12,-404.0,-1.11
134,Kaitse:32 + net1 + PV:12 + Aku:Tesla Powerwall 2,32,net1,Tesla Powerwall 2,12,-767.0,-2.1
135,Kaitse:32 + net1 + PV:12 + Aku:LG Chem RESU,32,net1,LG Chem RESU,12,-605.0,-1.66
136,Kaitse:32 + net2 + PV:12 + Aku:Puudub,32,net2,Puudub,12,-431.0,-1.18
137,Kaitse:32 + net2 + PV:12 + Aku:Tesla Powerwall 2,32,net2,Tesla Powerwall 2,12,-772.0,-2.12
138,Kaitse:32 + net2 + PV:12 + Aku:LG Chem RESU,32,net2,LG Chem RESU,12,-623.0,-1.71
139,Kaitse:32 + net3 + PV:12 + Aku:Puudub,32,net3,Puudub,12,-463.0,-1.27
140,Kaitse:32 + net3 + PV:12 + Aku:Tesla Powerwall 2,32,net3,Tesla Powerwall 2,12,-790.0,-2.17
141,Kaitse:32 + net3 + PV:12 + Aku:LG Chem RESU,32,net3,LG Chem RESU,12,-645.0,-1.77
142,Kaitse:32 + net4 + PV:12 + Aku:Puudub,32,net4,Puudub,12,-475.0,-1.3
143,Kaitse:32 + net4 + PV:12 + Aku:Tesla Powerwall 2,32,net4,Tesla Powerwall 2,12,-793.0,-2.17
144,Kaitse:32 + net4 + PV:12 + Aku:LG Chem RESU,32,net4,LG Chem RESU,12,-654.0,-1.79
